Codice Articolo,Lob Associata,Nome LOB,Inventario,Descrizione Articolo,Lob Associata Orig Norm,Lob Associata Cleaned,LOB Cleaning Decision
000050,1002,CABLAGGIO ALTERNATIVO,Inventario,PATCH CORD UTP 2/RJ45 CAT5E MT2,1002,1002,unchanged
000081,1002,CABLAGGIO ALTERNATIVO,Inventario,cab - cf54/150ez passerella a filo 3m,1002,1002,unchanged
‎000411AA230621QMANE,3004,CLOUD VARIE HW,Inventario,QUARKZMAN 30pz Ultra Sottile Telefono Leva Apertura Strumenti Triangolo Plettro Plastica per Cellula,3004,3004,unchanged
00054569,3004,CLOUD VARIE HW,Inventario,adattatore vga-hdmi,3004,3004,unchanged
000ERIDT29,4002,ALTRO MATERIALE,Inventario,ERICSSON DT290/292 BATTERIA CORDLESS,4002,4002,unchanged
001DELTA-E,24001,BUILDING AUTOMATION,Inventario,FOTOCELLULA CAME DA ESTERNO COPPIA RICEVITORE/TRASMETTITORE,24001,24001,unchanged
0021X145,3004,CLOUD VARIE HW,Inventario,CUSTODIA MORBIDA DCC-80,3004,3004,unchanged
002349147,3004,CLOUD VARIE HW,Inventario,E350 E352DN 3 ANNI TOTALI (1+2),3004,3004,unchanged
002R3G6,4002,ALTRO MATERIALE,Inventario,CELLULARE NOKIA E52 NAVY,4002,4002,unchanged
00413.CK.B,1002,CABLAGGIO ALTERNATIVO,Inventario,Presa mult. 3P BIANCA,1002,1002,unchanged
004701060,24001,BUILDING AUTOMATION,Inventario,Pressostato differenziale aria on/off; 20-300Pa / IP54 con 2,24001,24001,unchanged
004701070,24001,BUILDING AUTOMATION,Inventario,Pressostato differenziale aria on/off; 50-500Pa / IP54,24001,24001,unchanged
004702020,17001,SISTEMI SCHNEIDER,Inventario,SPP110-100kPa Trasmettitore di pressione aria/acqua 0-10 V DC; 24Vac; 0-100kPa con 2m tubo ed adatta,17001,17001,unchanged
004702080,24001,BUILDING AUTOMATION,Inventario,Trasmettitore di pressione aria/acqua 0-10 V DC; 24Vac; 0-10,24001,24001,unchanged
00567621,1002,CABLAGGIO ALTERNATIVO,Inventario,SX PLUS 6X30 S TASSELLO/VITE (100PZ.),1002,1002,unchanged
006902331,24001,BUILDING AUTOMATION,Inventario,"Sonda da condotta combinata umidità 0-10V/4-20mA, 24Vac, cam",24001,24001,unchanged
006902500,17001,SISTEMI SCHNEIDER,Inventario,SCP110 Sonda anticondensa per installazione a contatto.,17001,17001,unchanged
006920121,24001,BUILDING AUTOMATION,Inventario,Sonda di temperatura da condotta attiva e conversione in segnale di corrente 4-20mA.,24001,24001,unchanged
00701,1003,TBD******,Inventario,"CAVO ALIMENTAZIONE M/F VDE 1,8MT",1003,1003,unchanged
007306220,24001,BUILDING AUTOMATION,Inventario,Xenta 121-FC/230 CONTROLLORE LON PER FANCOIL,24001,24001,unchanged
0090,2013,VIDEOSORVEGLIANZA,Inventario,ONSIGHT 2500R PACK COMPLETO,2013,2013,unchanged
009373,3004,CLOUD VARIE HW,Inventario,S3+ SDRAM 512MB 168PIN 133MHZ,3004,3004,unchanged
00952,4009,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario,Barra Fari in Alluminio 1200,4009,4009,unchanged
00-B0B111-030,3004,CLOUD VARIE HW,Inventario,"NUC MSI con 512GB SSD, 8GB RAM, Processore Intel Core I5 - 1.4Ghz",3004,3004,unchanged
01020115,3004,CLOUD VARIE HW,Inventario,804 ING.GESSO QUADRATO GU10 220V,3004,3004,unchanged
01020184,3004,CLOUD VARIE HW,Inventario,ALL.GLASS 6.2E 300K 24' 500 LM,3004,3004,unchanged
01021-001,2013,VIDEOSORVEGLIANZA,Inventario,"Day/night fixed dome with support for Forensic WDR, Lightfinder and OptimizedIR with built-in IR ill",2013,2013,unchanged
01030169,3004,CLOUD VARIE HW,Inventario,Ego Profile High 2000 mm Bianco,3004,3004,unchanged
01030170,3004,CLOUD VARIE HW,Inventario,Ego Profile high 1000 mm bianco,3004,3004,unchanged
01030171,3004,CLOUD VARIE HW,Inventario,Ego end cap high senza foro bianca,3004,3004,unchanged
01030173,3004,CLOUD VARIE HW,Inventario,Ego Linear conn. on-off bianca,3004,3004,unchanged
01031042,3004,CLOUD VARIE HW,Inventario,Ego wide bianco 13 W 48v On/OFF 3000 K 13 W 110° 1700 lm,3004,3004,unchanged
01031150,3004,CLOUD VARIE HW,Inventario,Cover di copertura L=1000 pere binario Ego Track Hight,3004,3004,unchanged
01032963,3004,CLOUD VARIE HW,Inventario,EGO TYRACK SINGLE 8W 3K 30° BIANCO,3004,3004,unchanged
01033556,3004,CLOUD VARIE HW,Inventario,Ego magnetic driver nero 200 W 48 V misure 268x43x16 mm,3004,3004,unchanged
01041-001,2013,VIDEOSORVEGLIANZA,Inventario,"Day/night fixed dome with support for Forensic WDR, Lightfinder and OptimizedIR illumination. IK10+ ",2013,2013,unchanged
01048-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS P3807-PVE,2013,2013,unchanged
01049-001,2013,VIDEOSORVEGLIANZA,Inventario,"Day/night, compact and outdoor-ready bullet style HDTV camera, IP66- and IK08-rated. Built-in IR ill",2013,2013,unchanged
01050-001,2013,VIDEOSORVEGLIANZA,Inventario,"Day/night, compact and outdoor-ready bullet style HDTV camera in black color, IP66- and IK08-rated. ",2013,2013,unchanged
01054-001,2013,VIDEOSORVEGLIANZA,Inventario,"Axis P1447-LE Compact outdoor, 5MP resolution, day/nigh",2013,2013,unchanged
01054-600,2013,VIDEOSORVEGLIANZA,Non in inventario,2 years extension of the warranty period,2013,2013,unchanged
01055-001,2013,VIDEOSORVEGLIANZA,Inventario,"Compact outdoor, 4K Ultra HD (8MP)",2013,2013,unchanged
0106-002-01,2013,VIDEOSORVEGLIANZA,Inventario,"TELECAMERA AXIS 2100 FE (10 FRAME/S, X INTERNO) W/OTTICA",2013,2013,unchanged
01061-001,2013,VIDEOSORVEGLIANZA,Inventario,Day/night fixed dome with support for WDR-Forensic Capture,2013,2013,unchanged
01072-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS P3905-R Mk II,2013,2013,unchanged
01074-001,2013,VIDEOSORVEGLIANZA,Inventario,"Mk II 1080p fixed dome onboard camera with male RJ-45 network connector, and support for audio and I",2013,2013,unchanged
01074-001.,2013,VIDEOSORVEGLIANZA,Inventario,"Mk II 1080p fixed dome onboard camera with male RJ-45 network connector, and support for audio and I",2013,2013,unchanged
01083-002,2013,VIDEOSORVEGLIANZA,Inventario,PTZ for the toughest conditions. MIL specified build in IR illumination 400M (1300t),2013,2013,unchanged
01083-003,2013,VIDEOSORVEGLIANZA,Inventario,"""PTZ for the toughest conditions. MIL specified, build in IR illumination 400M (1300t), can be mount",2013,2013,unchanged
01109-001,2013,VIDEOSORVEGLIANZA,Inventario,"""Outdoor, 4K Ultra HD (8MP) camera, day/night, fixed box",2013,2013,unchanged
0-1116412-1,1001,CABLAGGI COMMSCOPE,Inventario,INSERTO CIECO COLORE AVORIO,1001,1001,unchanged
01145-001,2013,VIDEOSORVEGLIANZA,Inventario,"Discreet PTZ with HDTV 1080p, 1920x1080, 10x optical zoom,",2013,2013,unchanged
01148-001,2013,VIDEOSORVEGLIANZA,Inventario,,2013,2013,unchanged
01148-001.,4009,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario,AXIS T8129-E Outdoor PoE Extender repeats the data signal,4009,4009,unchanged
01154-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS T8144 60W INDUSTRIAL MIDSPAN,2013,2013,unchanged
01156-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS T94M02L RECESSED MOUNT,2013,2013,unchanged
