Codice Articolo,current_lob,current_nome_lob,family,name_candidates_all,name_candidates_prefix2,suggested_lob_name,suggested_lob_family,family_lob_nunique,top_match_code,top_match_lob,top_match_nome_lob,top_similarity,second_similarity,similarity_gap,decision,suggested_lob,rule_priority
0151254-24,1,IMPIANTI,0151254,01,01,01,1002,1.0,,,,,,,fix_by_name_prefix2,01,1
14208-08,4,COLLABORATION,14208,04|04999,04|04999,04999,3004,2.0,,,,,,,fix_by_name_prefix2,04999,1
16QT2200315,17,DATACENTER INFRASTRUCTURE,16QT2200315,17|17999,17|17999,17999,,,,,,,,,fix_by_name_prefix2,17999,1
33-912.0931,4,COLLABORATION,33,04|04999,04|04999,04999,4009,3.0,,,,,,,fix_by_name_prefix2,04999,1
33-917.227,4,COLLABORATION,33,04|04999,04|04999,04999,4009,3.0,,,,,,,fix_by_name_prefix2,04999,1
33-918.002,4,COLLABORATION,33,04|04999,04|04999,04999,4009,3.0,,,,,,,fix_by_name_prefix2,04999,1
798-0714,17,DATACENTER INFRASTRUCTURE,798,17|17999,17|17999,17999,,,,,,,,,fix_by_name_prefix2,17999,1
81681,4,COLLABORATION,81681,04|04999,04|04999,04999,,,,,,,,,fix_by_name_prefix2,04999,1
ABBIGLIAMENTO,99,VARIE,ABBIGLIAMENTO,99|99999,99|99999,99999,,,,,,,,,fix_by_name_prefix2,99999,1
ACTELKIT,4,COLLABORATION,ACTELKIT,04|04999,04|04999,04999,,,,,,,,,fix_by_name_prefix2,04999,1
B085Y9Z9RF,99,VARIE,B085Y9Z9RF,99|99999,99|99999,99999,,,,,,,,,fix_by_name_prefix2,99999,1
B086H2BFLD,17,DATACENTER INFRASTRUCTURE,B086H2BFLD,17|17999,17|17999,17999,,,,,,,,,fix_by_name_prefix2,17999,1
B08C5JC4TB,99,VARIE,B08C5JC4TB,99|99999,99|99999,99999,,,,,,,,,fix_by_name_prefix2,99999,1
BTIF315P18,12,ALTRI RICAVI E PROVENTI,BTIF315P18,12|12999|54|54999,12|12999,12999,,,,,,,,,fix_by_name_prefix2,12999,1
C9115AXI-MULTI,2,APPARATI,C9115AXI,02|02999,02|02999,02999,2006,3.0,,,,,,,fix_by_name_prefix2,02999,1
CENA,99,VARIE,CENA,99|99999,99|99999,99999,,,,,,,,,fix_by_name_prefix2,99999,1
CTS-ST-ARR60-WMK=,4,COLLABORATION,CTS-ST-ARR60,04|04999,04|04999,04999,,,,,,,,,fix_by_name_prefix2,04999,1
DNA-P-T0-E-3Y,3,CLOUD TECHNOLOGIES,DNA-P-T0-E,03|03999,03|03999,03999,,,,,,,,,fix_by_name_prefix2,03999,1
DSTACK-T0-E,3,CLOUD TECHNOLOGIES,DSTACK-T0,03|03999,03|03999,03999,2003,1.0,,,,,,,fix_by_name_prefix2,03999,1
EU5050RGBLY,99,VARIE,EU5050RGBLY,99|99999,99|99999,99999,,,,,,,,,fix_by_name_prefix2,99999,1
EVENTO10,99,VARIE,EVENTO10,99|99999,99|99999,99999,,,,,,,,,fix_by_name_prefix2,99999,1
EVN-SAAS-XS,2,APPARATI,EVN-SAAS,02|02999,02|02999,02999,,,,,,,,,fix_by_name_prefix2,02999,1
FPR1140T-TM,2,APPARATI,FPR1140T,02|02999,02|02999,02999,,,,,,,,,fix_by_name_prefix2,02999,1
GELATI,99,VARIE,GELATI,99|99999,99|99999,99999,,,,,,,,,fix_by_name_prefix2,99999,1
GLD-FLT-VEM/PRM,99,VARIE,GLD-FLT,99|99999,99|99999,99999,,,,,,,,,fix_by_name_prefix2,99999,1
GRIGLIA,17,DATACENTER INFRASTRUCTURE,GRIGLIA,17|17999,17|17999,17999,,,,,,,,,fix_by_name_prefix2,17999,1
GVSUPS20KHS,17,DATACENTER INFRASTRUCTURE,GVSUPS20KHS,17|17999,17|17999,17999,,,,,,,,,fix_by_name_prefix2,17999,1
H11659,2,APPARATI,H11659,02|02999,02|02999,02999,,,,,,,,,fix_by_name_prefix2,02999,1
IMPOSTA DI SOGGIORNO,99,VARIE,IMPOSTA DI SOGGIORNO,99|99999,99|99999,99999,,,,,,,,,fix_by_name_prefix2,99999,1
L-FLA1-1X-10-20G=,3,CLOUD TECHNOLOGIES,L-FLA1-1X-10,03|03999,03|03999,03999,,,,,,,,,fix_by_name_prefix2,03999,1
L-FPR1140T-TM-3Y,2,APPARATI,L-FPR1140T-TM,02|02999,02|02999,02999,,,,,,,,,fix_by_name_prefix2,02999,1
LH55QETELGCXEN,4,COLLABORATION,LH55QETELGCXEN,04|04999,04|04999,04999,,,,,,,,,fix_by_name_prefix2,04999,1
LS220,16,CORSI IN AULA,LS220,16|16999,16|16999,16999,,,,,,,,,fix_by_name_prefix2,16999,1
MPH,17,DATACENTER INFRASTRUCTURE,MPH,17|17999,17|17999,17999,,,,,,,,,fix_by_name_prefix2,17999,1
MR28-HW,2,APPARATI,MR28,02|02999,02|02999,02999,,,,,,,,,fix_by_name_prefix2,02999,1
NWSTACK-T0-E,2,APPARATI,NWSTACK-T0,02|02999,02|02999,02999,2003,1.0,,,,,,,fix_by_name_prefix2,02999,1
PARTNERSHIP,99,VARIE,PARTNERSHIP,99|99999,99|99999,99999,,,,,,,,,fix_by_name_prefix2,99999,1
PRESTAZIONE FPO,99,VARIE,PRESTAZIONE FPO,99|99999,99|99999,99999,,,,,,,,,fix_by_name_prefix2,99999,1
QSFP-100G-SM-SR=,2,APPARATI,QSFP-100G-SM,02|02999,02|02999,02999,,,,,,,,,fix_by_name_prefix2,02999,1
RCF DU-B101,2,APPARATI,RCF DU,02|02999,02|02999,02999,,,,,,,,,fix_by_name_prefix2,02999,1
SUBS-STORAGEGRID-UPG,3,CLOUD TECHNOLOGIES,SUBS-STORAGEGRID,03|03999,03|03999,03999,3022,1.0,,,,,,,fix_by_name_prefix2,03999,1
SVS-PDNA-ESS,3,CLOUD TECHNOLOGIES,SVS-PDNA,03|03999,03|03999,03999,2003,1.0,,,,,,,fix_by_name_prefix2,03999,1
SW9115AX-CAPWAP-K9,2,APPARATI,SW9115AX-CAPWAP,02|02999,02|02999,02999,,,,,,,,,fix_by_name_prefix2,02999,1
SXWSWASES00001,24,DIGITAL BUILDING,SXWSWASES00001,24|24999,24|24999,24999,,,,,,,,,fix_by_name_prefix2,24999,1
TAZZA A,99,VARIE,TAZZA A,99|99999,99|99999,99999,,,,,,,,,fix_by_name_prefix2,99999,1
TIMELAPSE-TOOL,99,VARIE,TIMELAPSE,99|99999,99|99999,99999,,,,,,,,,fix_by_name_prefix2,99999,1
TIPOGRAFIA,99,VARIE,TIPOGRAFIA,99|99999,99|99999,99999,,,,,,,,,fix_by_name_prefix2,99999,1
TSS-7-W-S-LB KIT,4,COLLABORATION,TSS-7-W-S,04|04999,04|04999,04999,,,,,,,,,fix_by_name_prefix2,04999,1
U855QL,4,COLLABORATION,U855QL,04|04999,04|04999,04999,,,,,,,,,fix_by_name_prefix2,04999,1
V-FDNVUL-0I-SU3YP-00,3,CLOUD TECHNOLOGIES,V-FDNVUL-0I-SU3YP,03|03999,03|03999,03999,,,,,,,,,fix_by_name_prefix2,03999,1
VAR-STK-VS8M-MINI-5G,99,VARIE,VAR-STK-VS8M-MINI,99|99999,99|99999,99999,,,,,,,,,fix_by_name_prefix2,99999,1
VCAM-5640S-101,99,VARIE,VCAM-5640S,99|99999,99|99999,99999,,,,,,,,,fix_by_name_prefix2,99999,1
WBEXTWAR3YR-NB-02,17,DATACENTER INFRASTRUCTURE,WBEXTWAR3YR-NB,17|17999,17|17999,17999,17007,1.0,,,,,,,fix_by_name_prefix2,17999,1
WEXTWAR3YR-SP-05,17,DATACENTER INFRASTRUCTURE,WEXTWAR3YR-SP,17|17999,17|17999,17999,24001,2.0,,,,,,,fix_by_name_prefix2,17999,1
