Codice Articolo,current_lob,current_nome_lob,family,family_lob_nunique,suggested_lob_family,top_match_code,top_match_lob,top_match_nome_lob,top_similarity,second_similarity,similarity_gap,decision_text_aware,suggested_lob_text_aware
0151254-24,1,IMPIANTI,0151254,1.0,1002,0151254-04,1002,CABLAGGIO ALTERNATIVO,1.0,0.0,1.0,auto_fix_safe_family_unique,1002
SVS-PDNA-ESS,3,CLOUD TECHNOLOGIES,SVS-PDNA,1.0,2003,SVS-PDNA-ADV,2003,APPARATI CISCO WAN,1.0,0.0,1.0,auto_fix_safe_family_unique,2003
SUBS-STORAGEGRID-UPG,3,CLOUD TECHNOLOGIES,SUBS-STORAGEGRID,1.0,3022,SUBS-STORAGEGRID-EXT,3022,RINNOVO SOLUZIONE NETAPP,1.0,0.0,1.0,auto_fix_safe_family_unique,3022
NWSTACK-T0-E,2,APPARATI,NWSTACK-T0,1.0,2003,NWSTACK-T0-A,2003,APPARATI CISCO WAN,1.0,0.0,1.0,auto_fix_safe_family_unique,2003
WBEXTWAR3YR-NB-02,17,DATACENTER INFRASTRUCTURE,WBEXTWAR3YR-NB,1.0,17007,WBEXTWAR3YR-NB-02.,17007,INSTALLAZIONE DATA CENTER,1.0,0.0,1.0,auto_fix_safe_family_unique,17007
DSTACK-T0-E,3,CLOUD TECHNOLOGIES,DSTACK-T0,1.0,2003,DSTACK-T0-A,2003,APPARATI CISCO WAN,1.0,0.0,1.0,auto_fix_safe_family_unique,2003
C9115AXI-MULTI,2,APPARATI,C9115AXI,3.0,2006,C9115AXI-E,2006,APPARATI VARI,0.0,0.0,0.0,manual_review_low_text_signal,
WEXTWAR3YR-SP-05,17,DATACENTER INFRASTRUCTURE,WEXTWAR3YR-SP,2.0,24001,WEXTWAR3YR-SP-03,24001,BUILDING AUTOMATION,1.0000000000000002,1.0000000000000002,0.0,manual_review_low_text_signal,
33-918.002,4,COLLABORATION,33,3.0,4009,33-930.500,4002,ALTRO MATERIALE,0.08480974535100319,0.08439101413217792,0.000418731218825269,manual_review_low_text_signal,
33-917.227,4,COLLABORATION,33,3.0,4009,33-375.000,1002,CABLAGGIO ALTERNATIVO,0.4329356211967823,0.4329356211967823,0.0,manual_review_low_text_signal,
