Descrizione Articolo,Lob Associata,Codice Articolo,Nome LOB,Inventario
*** NON USARE *** MATERIALE VARIO,1002,MATERIALE THEGUARDIA,CABLAGGIO ALTERNATIVO,Non in inventario
*** NON USARE *** MATERIALE VARIO,17001,MATERIALE SCHNEIDER,SISTEMI SCHNEIDER,Inventario
*** NON USARE *** MATERIALE VARIO,17005,MATERIALE CIVER,ALTRO DATA CENTER,Non in inventario
1 Year Warranty Extension for (1) Accessory (Renewal or High Volume),17001,WEXWAR1Y-AC-01,SISTEMI SCHNEIDER,Inventario
1 Year Warranty Extension for (1) Accessory (Renewal or High Volume),17007,WEXWAR1Y-AC-04,INSTALLAZIONE DATA CENTER,Non in inventario
"100G QSFP28 100G-LR, 10km SMF, duplex, LC Connector",2002,QSFP-100G-LR-S=,APPARATI CISCO LAN,Inventario
"100G QSFP28 100G-LR, 10km SMF, duplex, LC Connector",2003,QSFP-100G-LR-S,APPARATI CISCO WAN,Inventario
"100GBASE-CR4 Passive Copper Cable, 3m",2001,QSFP-100G-CU3M,APPARATI CISCO WIRELESS,Inventario
"100GBASE-CR4 Passive Copper Cable, 3m",2002,QSFP-100G-CU3M=,APPARATI CISCO LAN,Inventario
10GBASE-CU SFP+ Cable 3 Meter,2002,SFP-H10G-CU3M=,APPARATI CISCO LAN,Inventario
10GBASE-CU SFP+ Cable 3 Meter,3009,SFP-H10GB-CU3M=,SERVER CISCO,Inventario
12MO Essential Support R FOR 501-2500 SEAT BAND,6009,ESESPT-3-CP12-X-R,FORCEPOINT SECURITY,Inventario
12MO Essential Support R FOR 501-2500 SEAT BAND,6016,ESESPT-3-CP12-X-R-R,RINNOVO FORCEPOINT SECURITY,Non in inventario
12MO Forcepoint Email Security R FOR 501-2500 SEAT BAND,6009,EMSA-3-CP12-C-R,FORCEPOINT SECURITY,Inventario
12MO Forcepoint Email Security R FOR 501-2500 SEAT BAND,6016,EMSA-3-CP12-H-R,RINNOVO FORCEPOINT SECURITY,Inventario
16GB DDR4-2666-MHz RDIMM/PC4-21300/single rank/x4/1.2v,3009,UCS-MR-X16G1RS-H,SERVER CISCO,Inventario
16GB DDR4-2666-MHz RDIMM/PC4-21300/single rank/x4/1.2v,3030,HX-MR-X16G1RS-H,STORAGE IPERCONVERGENZA CISCO,Inventario
16GB DDR4-2933-MHz RDIMM/1Rx4/1.2v,2002,UCS-MR-X16G1RT-H=,APPARATI CISCO LAN,Inventario
16GB DDR4-2933-MHz RDIMM/1Rx4/1.2v,3009,UCS-MR-X16G1RT-H,SERVER CISCO,Inventario
16GB DDR4-2933-MHz RDIMM/1Rx4/1.2v,3030,HX-MR-X16G1RT-H,STORAGE IPERCONVERGENZA CISCO,Inventario
16GB RDIMM SRx4 3200 (8Gb),3009,UCS-MR-X16G1RW,SERVER CISCO,Inventario
16GB RDIMM SRx4 3200 (8Gb),3009,UCSX-MR-X16G1RW,SERVER CISCO,Inventario
16GB RDIMM SRx4 3200 (8Gb),3030,HX-MR-X16G1RW,STORAGE IPERCONVERGENZA CISCO,Inventario
2 Year On-Site Warranty Ext for (1) Easy UPS 3S 10 - 15kVA UPS,17001,WOE2YR-EZ-15.,SISTEMI SCHNEIDER,Non in inventario
2 Year On-Site Warranty Ext for (1) Easy UPS 3S 10 - 15kVA UPS,17008,WOE2YR-EZ-15,SERVIZI SISTEMI SCHNEIDER,Assistenza
240GB 2.5 inch Enterprise Value 6G SATA SSD,2001,AIR-SD240GBKS4-EV=,APPARATI CISCO WIRELESS,Inventario
240GB 2.5 inch Enterprise Value 6G SATA SSD,3030,HX-SD240GM1X-EV,STORAGE IPERCONVERGENZA CISCO,Inventario
240GB SATA M.2,3009,UCS-M2-240GB.,SERVER CISCO,Inventario
240GB SATA M.2,3030,HX-M2-240GB,STORAGE IPERCONVERGENZA CISCO,Inventario
24x7 FortiCare Contract,6007,FC100040F2470212,FORTINET SECURITY,Non in inventario
24x7 FortiCare Contract,6007,FC100040F2470236,FORTINET SECURITY,Non in inventario
24x7 FortiCare Contract,6007,FC100050E2470236,FORTINET SECURITY,Non in inventario
24x7 FortiCare Contract,6007,FC10F101F2470236,FORTINET SECURITY,Non in inventario
24x7 FortiCare Contract,6009,FC-10-FG4VM-248-02-3,FORCEPOINT SECURITY,Non in inventario
24x7 FortiCare Contract,6013,FC100060E2470236R,RINNOVO FORTINET SECURITY,Non in inventario
3.2TB 2.5in U.2 15mm P5620 Hg Perf Hg End NVMe (3X),3009,UCS-NVME4-3200-D,SERVER CISCO,Inventario
3.2TB 2.5in U.2 15mm P5620 Hg Perf Hg End NVMe (3X),6001,UCSX-NVME4-3200-D=,CISCO SECURITY,Inventario
32GB RDIMM DRx4 3200 (8Gb),3009,UCS-MR-X32G2RW,SERVER CISCO,Inventario
32GB RDIMM DRx4 3200 (8Gb),3009,UCSX-MR-X32G2RW,SERVER CISCO,Inventario
32GB RDIMM DRx4 3200 (8Gb),3030,HX-MR-X32G2RW,STORAGE IPERCONVERGENZA CISCO,Inventario
32GB SD Card for UCS servers,3009,UCS-SD-32G-S,SERVER CISCO,Inventario
32GB SD Card for UCS servers,3009,UCS-SD-32G-S=,SERVER CISCO,Inventario
32GB SD Card for UCS servers,3030,HX-SD-32G-S,STORAGE IPERCONVERGENZA CISCO,Inventario
4hr Parts Replacement,3014,CS-4HR-REPLACEMENT-A,SOLUZIONE NETAPP,Non in inventario
4hr Parts Replacement,3022,CS-4HR-REPLACEMENT.,RINNOVO SOLUZIONE NETAPP,Non in inventario
