Descrizione Articolo,lob_nunique,lob_values,lob_code_description
NON USARE,6,17 | 17001 | 17008 | 24001 | 6001 | 99004,"17 - DATACENTER INFRASTRUCTURE
17001 - SISTEMI SCHNEIDER
17008 - SERVIZI SISTEMI SCHNEIDER
24001 - BUILDING AUTOMATION
6001 - CISCO SECURITY
99004 - TERZISTI DELIVERY INSTALLAZIONI"
Cisco ISR 4300 Series IOS XE Universal,4,2002 | 2003 | 4004 | 4005,"2002 - APPARATI CISCO LAN
2003 - APPARATI CISCO WAN
4004 - TELEFONIA SOFTWARE
4005 - ROUTER TELEFONIA"
*** NON USARE *** MATERIALE VARIO,3,1002 | 17001 | 17005,"1002 - CABLAGGIO ALTERNATIVO
17001 - SISTEMI SCHNEIDER
17005 - ALTRO DATA CENTER"
16GB DDR4-2933-MHz RDIMM/1Rx4/1.2v,3,2002 | 3009 | 3030,"2002 - APPARATI CISCO LAN
3009 - SERVER CISCO
3030 - STORAGE IPERCONVERGENZA CISCO"
24x7 FortiCare Contract,3,6007 | 6009 | 6013,"6007 - FORTINET SECURITY
6009 - FORCEPOINT SECURITY
6013 - RINNOVO FORTINET SECURITY"
Ball Bearing Rail Kit for C220 & C240 M6 rack servers,3,2002 | 3009 | 3030,"2002 - APPARATI CISCO LAN
3009 - SERVER CISCO
3030 - STORAGE IPERCONVERGENZA CISCO"
"Nastro per etichettatrici Brady 9,53 mm x 6,4 m Nero su Bianco",3,1002 | 3004 | 4002,"1002 - CABLAGGIO ALTERNATIVO
3004 - CLOUD VARIE HW
4002 - ALTRO MATERIALE"
S/n Chassis: - Ordine EI:,3,2002 | 2003 | 2006,"2002 - APPARATI CISCO LAN
2003 - APPARATI CISCO WAN
2006 - APPARATI VARI"
UNIVERSAL,3,2001 | 2002 | 2003,"2001 - APPARATI CISCO WIRELESS
2002 - APPARATI CISCO LAN
2003 - APPARATI CISCO WAN"
UNIVERSAL (NETWORK ESSENTIALS),3,2002 | 2003 | 2015,"2002 - APPARATI CISCO LAN
2003 - APPARATI CISCO WAN
2015 - APPARATI CISCO IOT"
non usare,3,17005 | 3019 | 6002,"17005 - ALTRO DATA CENTER
3019 - RINNOVO SOFTWARE VMWARE
6002 - CHECKPOINT SECURITY"
1 Year Warranty Extension for (1) Accessory (Renewal or High Volume),2,17001 | 17007,"17001 - SISTEMI SCHNEIDER
17007 - INSTALLAZIONE DATA CENTER"
"100G QSFP28 100G-LR, 10km SMF, duplex, LC Connector",2,2002 | 2003,"2002 - APPARATI CISCO LAN
2003 - APPARATI CISCO WAN"
"100GBASE-CR4 Passive Copper Cable, 3m",2,2001 | 2002,"2001 - APPARATI CISCO WIRELESS
2002 - APPARATI CISCO LAN"
10GBASE-CU SFP+ Cable 3 Meter,2,2002 | 3009,"2002 - APPARATI CISCO LAN
3009 - SERVER CISCO"
12MO Essential Support R FOR 501-2500 SEAT BAND,2,6009 | 6016,"6009 - FORCEPOINT SECURITY
6016 - RINNOVO FORCEPOINT SECURITY"
12MO Forcepoint Email Security R FOR 501-2500 SEAT BAND,2,6009 | 6016,"6009 - FORCEPOINT SECURITY
6016 - RINNOVO FORCEPOINT SECURITY"
