code_prefix,Lob Associata,count
C,2002,428
PAN,20001,368
AIR,2001,243
X,3014,236
P,3010,222
UCS,3009,202
LIC,2016,200
FC,6007,199
WS,2002,195
CP,4001,173
A,1006,153
CS,4008,151
A,4015,150
PAN,20006,145
CPSB,6002,144
UCSC,3009,136
NW,3005,133
SW,3014,129
FC,6013,125
FG,6007,118
P,3004,113
56,1002,110
GWGW,1003,102
L,6001,96
CPAP,6002,89
66,4009,84
AFF,3014,82
VO,6003,80
AR,17001,80
AP,17001,78
OTHER,1001,78
J,2005,77
76,1001,74
01,2013,73
CPAC,6002,71
N,2002,70
OTHER,3004,69
E,2016,68
PWR,2002,66
FAS,3014,66
LH,4009,66
GWGW,1002,64
02,2013,61
VO,6012,58
HX,3030,57
SFP,2002,57
57,1002,57
IM,4004,57
OTHER,1002,56
CP,6002,56
UCSX,3009,56
A,4008,55
C,2001,54
V,3032,54
E,3014,52
CAB,4008,51
MS,2016,51
QSFP,2002,51
DX,6012,50
VS,3011,49
UTP,1008,48
CAB,2002,47
A,17001,46
BO,1003,46
C,2003,46
V,3031,46
VI,1002,46
MTN,24001,45
CG,15007,44
VS,3019,43
SM,3004,43
MA,2016,42
11,1002,41
A,4016,41
SNC,2013,40
OS,6003,38
LIC,4004,38
OS,6012,37
OC,1002,37
CTS,4008,37
B,3004,36
OTHER,1003,36
JL,2005,35
CG,15008,35
U,3004,34
CPSB,6011,34
S,3004,33
LEG,1002,33
21,1001,33
ACDC,17001,33
L,2001,32
CISCO,2003,32
CGM,15008,31
DX,6003,31
FPR,6001,31
NPC,1001,31
B,4002,30
14,1002,30
72,4009,30
EXP,4009,30
CT,6012,30
RS,3039,29
PWR,2003,29
OTHER,3002,29
ASA,6001,29
VI,1003,29
SRT,17001,28
77,3004,28
CS,3014,28
CVN,1003,28
BMM,1002,27
NIM,2003,27
DG,3002,27
10,1001,27
HU,3010,27
DS,3014,27
GLC,2002,27
FS,17001,27
A,24001,27
NXOS,2002,27
IE,2015,26
CPSM,6002,26
NXA,2002,26
F,1008,26
CAB,2003,26
17,1001,26
CABL,1002,25
FZ,1008,25
CPAPSG,6002,25
CGM,15007,25
CPC,1001,25
DOC,3014,25
CT,6003,24
TF,6004,24
CX,6012,24
BO,1002,24
MEM,2003,24
CS,3022,23
02,1015,23
91,2014,23
WOE,17001,23
OTHER,2006,23
TM,3004,22
CAVFS,1002,22
DNA,2001,22
ACAC,17001,22
MANUTENZIONE,99003,22
DS,2002,21
07,3004,21
49,4009,21
B,4009,21
TVDP,4009,21
33,4009,21
55,1002,21
IE,2002,21
CFQ,3002,21
20,3004,21
ASR,2003,21
LIC,2001,20
MTN,17001,20
10,3004,20
Y,2013,20
HS,1002,20
LEG,1003,20
HD,4009,20
H,3014,19
10,1002,19
AUT,6004,19
L,4008,19
SK,3002,19
R,2005,19
ATW,4009,19
CPTS,6002,19
55,2013,19
37,4009,19
60,3003,19
BLBIZ,1003,19
AT,2006,19
99,6027,18
AR,1002,18
30,1002,18
SL,2003,18
RCK,1006,18
CX,6003,18
X,1006,18
CW,2001,18
EI,2006,18
W,2012,17
PVDM,2003,17
41,4009,17
STACK,2002,17
H,3004,17
PRF,1002,17
WSTRTUP,17001,17
SVS,6001,17
QTE,1003,17
OTHER,3035,17
S,2002,17
22,4009,17
N,3009,16
91,4009,16
NHD,4009,16
40,3003,16
30,3003,16
E,6001,16
FS,6007,16
R,3010,16
41,3010,16
66,1002,16
M,3004,16
73,24001,15
H,3010,15
30,1006,15
