Codice Articolo,Descrizione Articolo,Inventario,Lob Associata,Lob Associata Cleaned,LOB Cleaning Decision,desc_token_count,desc_token_outlier
000050,PATCH CORD UTP 2/RJ45 CAT5E MT2,Inventario,1002,1002,unchanged,7,0
000081,cab - cf54/150ez passerella a filo 3m,Inventario,1002,1002,unchanged,7,0
‎000411AA230621QMANE,QUARKZMAN 30pz Ultra Sottile Telefono Leva Apertura Strumenti Triangolo Plettro Plastica per Cellula,Inventario,3004,3004,unchanged,13,0
00054569,adattatore vga-hdmi,Inventario,3004,3004,unchanged,3,0
000ERIDT29,ERICSSON DT290/292 BATTERIA CORDLESS,Inventario,4002,4002,unchanged,5,0
001DELTA-E,FOTOCELLULA CAME DA ESTERNO COPPIA RICEVITORE/TRASMETTITORE,Inventario,24001,24001,unchanged,7,0
0021X145,CUSTODIA MORBIDA DCC-80,Inventario,3004,3004,unchanged,4,0
002349147,E350 E352DN 3 ANNI TOTALI (1+2),Inventario,3004,3004,unchanged,7,0
002R3G6,CELLULARE NOKIA E52 NAVY,Inventario,4002,4002,unchanged,4,0
00413.CK.B,Presa mult. 3P BIANCA,Inventario,1002,1002,unchanged,4,0
004701060,Pressostato differenziale aria on/off; 20-300Pa / IP54 con 2,Inventario,24001,24001,unchanged,10,0
004701070,Pressostato differenziale aria on/off; 50-500Pa / IP54,Inventario,24001,24001,unchanged,8,0
004702020,SPP110-100kPa Trasmettitore di pressione aria/acqua 0-10 V DC; 24Vac; 0-100kPa con 2m tubo ed adatta,Inventario,17001,17001,unchanged,19,1
004702080,Trasmettitore di pressione aria/acqua 0-10 V DC; 24Vac; 0-10,Inventario,24001,24001,unchanged,12,0
00567621,SX PLUS 6X30 S TASSELLO/VITE (100PZ.),Inventario,1002,1002,unchanged,7,0
006902331,"Sonda da condotta combinata umidità 0-10V/4-20mA, 24Vac, cam",Inventario,24001,24001,unchanged,11,0
006902500,SCP110 Sonda anticondensa per installazione a contatto.,Inventario,17001,17001,unchanged,7,0
006920121,Sonda di temperatura da condotta attiva e conversione in segnale di corrente 4-20mA.,Inventario,24001,24001,unchanged,14,0
007306220,Xenta 121-FC/230 CONTROLLORE LON PER FANCOIL,Inventario,24001,24001,unchanged,8,0
0090,ONSIGHT 2500R PACK COMPLETO,Inventario,2013,2013,unchanged,4,0
009373,S3+ SDRAM 512MB 168PIN 133MHZ,Inventario,3004,3004,unchanged,5,0
00952,Barra Fari in Alluminio 1200,Inventario,4009,4009,unchanged,5,0
00-B0B111-030,"NUC MSI con 512GB SSD, 8GB RAM, Processore Intel Core I5 - 1.4Ghz",Inventario,3004,3004,unchanged,13,0
01020115,804 ING.GESSO QUADRATO GU10 220V,Inventario,3004,3004,unchanged,6,0
01020184,ALL.GLASS 6.2E 300K 24' 500 LM,Inventario,3004,3004,unchanged,8,0
01021-001,"Day/night fixed dome with support for Forensic WDR, Lightfinder and OptimizedIR with built-in IR ill",Inventario,2013,2013,unchanged,17,0
01030169,Ego Profile High 2000 mm Bianco,Inventario,3004,3004,unchanged,6,0
01030170,Ego Profile high 1000 mm bianco,Inventario,3004,3004,unchanged,6,0
01030171,Ego end cap high senza foro bianca,Inventario,3004,3004,unchanged,7,0
01030173,Ego Linear conn. on-off bianca,Inventario,3004,3004,unchanged,6,0
01031042,Ego wide bianco 13 W 48v On/OFF 3000 K 13 W 110° 1700 lm,Inventario,3004,3004,unchanged,15,0
01031150,Cover di copertura L=1000 pere binario Ego Track Hight,Inventario,3004,3004,unchanged,10,0
01032963,EGO TYRACK SINGLE 8W 3K 30° BIANCO,Inventario,3004,3004,unchanged,7,0
01033556,Ego magnetic driver nero 200 W 48 V misure 268x43x16 mm,Inventario,3004,3004,unchanged,11,0
01041-001,"Day/night fixed dome with support for Forensic WDR, Lightfinder and OptimizedIR illumination. IK10+",Inventario,2013,2013,unchanged,14,0
01048-001,AXIS P3807-PVE,Inventario,2013,2013,unchanged,3,0
01049-001,"Day/night, compact and outdoor-ready bullet style HDTV camera, IP66- and IK08-rated. Built-in IR ill",Inventario,2013,2013,unchanged,18,1
01050-001,"Day/night, compact and outdoor-ready bullet style HDTV camera in black color, IP66- and IK08-rated.",Inventario,2013,2013,unchanged,17,0
01054-001,"Axis P1447-LE Compact outdoor, 5MP resolution, day/nigh",Inventario,2013,2013,unchanged,9,0
01054-600,2 years extension of the warranty period,Non in inventario,2013,2013,unchanged,7,0
01055-001,"Compact outdoor, 4K Ultra HD (8MP)",Inventario,2013,2013,unchanged,6,0
0106-002-01,"TELECAMERA AXIS 2100 FE (10 FRAME/S, X INTERNO) W/OTTICA",Inventario,2013,2013,unchanged,11,0
01061-001,Day/night fixed dome with support for WDR-Forensic Capture,Inventario,2013,2013,unchanged,10,0
01072-001,AXIS P3905-R Mk II,Inventario,2013,2013,unchanged,5,0
01074-001,"Mk II 1080p fixed dome onboard camera with male RJ-45 network connector, and support for audio and I",Inventario,2013,2013,unchanged,19,1
01074-001.,"Mk II 1080p fixed dome onboard camera with male RJ-45 network connector, and support for audio and I",Inventario,2013,2013,unchanged,19,1
01083-002,PTZ for the toughest conditions. MIL specified build in IR illumination 400M (1300t),Inventario,2013,2013,unchanged,13,0
01083-003,"""PTZ for the toughest conditions. MIL specified, build in IR illumination 400M (1300t), can be mount",Inventario,2013,2013,unchanged,16,0
