token,cisco,fortinet,hpe,certego,schneider_electric,multi_brand,vmware,hp,cyber_guru,trend_micro
appliance,0.358695652173913,0.05434782608695652,0.0,0.5543478260869565,0.010869565217391304,0.0,0.010869565217391304,0.010869565217391304,0.0,0.0
base,0.956989247311828,0.021505376344086023,0.010752688172043012,0.0,0.0,0.010752688172043012,0.0,0.0,0.0,0.0
bretella,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
cable,0.6,0.0,0.02857142857142857,0.0,0.3,0.0,0.0,0.07142857142857142,0.0,0.0
cat,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
catalyst,0.996116504854369,0.0,0.0,0.0,0.0,0.003883495145631068,0.0,0.0,0.0,0.0
cavo,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cisco,0.9831625183016105,0.0,0.0,0.0,0.0,0.01683748169838946,0.0,0.0,0.0,0.0
cord,0.5,0.0,0.2222222222222222,0.0,0.2777777777777778,0.0,0.0,0.0,0.0,0.0
enterprise,0.6987577639751553,0.10248447204968944,0.0,0.0,0.003105590062111801,0.009316770186335404,0.046583850931677016,0.003105590062111801,0.13664596273291926,0.0
hdmi,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
hpe,0.0,0.0,0.9647058823529412,0.0,0.0,0.03529411764705882,0.0,0.0,0.0,0.0
lszh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
meraki,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
module,0.3467741935483871,0.012096774193548387,0.0,0.5564516129032258,0.024193548387096774,0.024193548387096774,0.0,0.036290322580645164,0.0,0.0
network,0.6573033707865169,0.011235955056179775,0.0,0.2247191011235955,0.08426966292134831,0.0056179775280898875,0.016853932584269662,0.0,0.0,0.0
normal,0.0,0.0,0.0,0.0,0.0,0.07246376811594203,0.0,0.0,0.0,0.927536231884058
one,0.08333333333333333,0.020833333333333332,0.0,0.0,0.020833333333333332,0.16666666666666666,0.0,0.020833333333333332,0.0,0.6875
plus,0.24481327800829875,0.4605809128630705,0.016597510373443983,0.0,0.0,0.004149377593360996,0.14937759336099585,0.004149377593360996,0.12033195020746888,0.0
poe,0.875,0.078125,0.005208333333333333,0.0,0.0,0.005208333333333333,0.0,0.036458333333333336,0.0,0.0
port,0.9156626506024096,0.028112449799196786,0.008032128514056224,0.0,0.004016064257028112,0.024096385542168676,0.0,0.020080321285140562,0.0,0.0
power,0.8538461538461538,0.015384615384615385,0.023076923076923078,0.0,0.07692307692307693,0.0,0.0,0.03076923076923077,0.0,0.0
premium,0.0,0.6260162601626016,0.0,0.3008130081300813,0.0,0.06504065040650407,0.0,0.008130081300813009,0.0,0.0
pro,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.21428571428571427,0.0,0.05357142857142857
rj45,0.4,0.5666666666666667,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0
security,0.5,0.03608247422680412,0.0,0.16494845360824742,0.0,0.010309278350515464,0.0,0.0,0.0,0.28865979381443296
series,0.9620253164556962,0.0189873417721519,0.006329113924050633,0.0,0.0,0.0,0.0,0.012658227848101266,0.0,0.0
server,0.25287356321839083,0.0,0.14942528735632185,0.0,0.12643678160919541,0.16091954022988506,0.25287356321839083,0.05747126436781609,0.0,0.0
sfp,0.7873563218390804,0.08045977011494253,0.040229885057471264,0.0,0.0,0.005747126436781609,0.0,0.08620689655172414,0.0,0.0
standard,0.18309859154929578,0.028169014084507043,0.007042253521126761,0.2535211267605634,0.0,0.14788732394366197,0.33098591549295775,0.0,0.0,0.04929577464788732
subscription,0.29878048780487804,0.07317073170731707,0.0,0.0,0.0,0.23170731707317074,0.3902439024390244,0.0,0.0,0.006097560975609756
threat,0.27310924369747897,0.3319327731092437,0.0,0.36554621848739494,0.0,0.029411764705882353,0.0,0.0,0.0,0.0
usb,0.7692307692307693,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.07692307692307693,0.0,0.0
user,0.2112676056338028,0.0,0.0,0.0,0.0,0.36619718309859156,0.08450704225352113,0.0,0.0,0.3380281690140845
utp,0.0,0.9058823529411765,0.0,0.0,0.09411764705882353,0.0,0.0,0.0,0.0,0.0
