token,count,first_token_count,candidate_score
cavo,680,486,3176.9748430948125
bretella,389,370,2213.44044021489
patch,268,148,833.611995560674
next,191,149,788.6243058041672
power,416,124,754.1357777248502
axis,169,144,744.690773372288
cable,511,99,623.8324625039508
trend,120,120,580.2906560172057
pannello,128,102,500.5606776492522
staffa,126,96,469.88614738648334
intel,120,92,446.0085207404969
adattatore,127,90,441.53475401668516
monitor,172,83,432.87649393781345
nexus,102,89,417.12560894066723
modulo,129,82,404.0053593878133
ucs,109,84,399.5408310923554
smart,168,73,379.61250490430746
supporto,139,73,365.6815392730885
apex,138,72,360.2165971185405
aff,99,77,359.20327450707117
cloud,168,67,348.833112614769
deep,99,71,331.5722533911426
rack,214,60,327.6089197157874
alimentatore,92,69,317.2819645207279
armadio,133,58,288.9725481971038
om4,199,52,280.81082042704594
sfp,339,47,279.78938964528993
usb,455,42,263.26719080911863
hegel,73,57,249.63577540584188
presa,89,51,233.99010285717378
imagicle,53,52,211.41615446790655
premium,162,40,208.84375823307727
base,331,32,191.5694539742441
galaxy,69,43,186.9337906501718
batteria,57,41,170.5386064429496
scheda,70,39,170.5071950816526
logitech,52,41,166.75226036918912
manutenzione,63,39,166.35532333438687
drive,88,36,166.07954568008915
vision,161,31,162.80308272743628
network,189,30,162.65774623697507
box,101,34,161.87404846494948
vsp,42,42,161.73160497482317
10gbase,60,38,160.32408070275915
ssd,157,29,151.877850990809
cat,459,23,147.1494357475954
pigtail,46,37,146.30560886498222
hdmi,344,24,146.088610425784
webex,61,34,144.4497034765782
sensore,50,34,137.6138971453514
standard,161,26,137.36510105127437
quantum,44,35,137.0398496317315
c9300,37,36,134.59068790987627
iphone,48,33,132.3218901357613
valvola,46,32,127.05487085643193
contatto,47,31,123.87843234905252
microfono,60,29,123.32621592519934
switch,160,23,121.95370475962712
orca,35,32,118.25612496905163
apple,38,31,117.23397267614868
asa,42,30,116.59720358650043
basic,87,25,116.41075717643338
int,126,23,116.26049007500619
lettore,41,30,115.86775816678443
harmony,33,31,112.84353678771717
mors,32,31,111.88824196692737
rj45,314,18,109.29888013768704
endpoint,142,21,109.18258186571795
spina,41,28,108.39241893021769
unit,110,22,108.31919463018367
mini,135,21,108.07840748619316
netshelter,40,28,107.69358993442493
pulsante,33,29,105.79081573848485
memory,58,24,101.93843609764299
enterprise,161,19,101.75192670464767
wall,98,21,101.09263670296097
ripiano,31,28,100.50634118119207
trasmettitore,40,26,100.26644580101632
