Lob Associata,Nome LOB
1002,CABLAGGIO ALTERNATIVO
3004,CLOUD VARIE HW
4002,ALTRO MATERIALE
24001,BUILDING AUTOMATION
17001,SISTEMI SCHNEIDER
1003,TBD******
2013,VIDEOSORVEGLIANZA
4009,AUDIO VIDEO - TELEPRESENCE ROOM
1001,CABLAGGI COMMSCOPE
1015,VIDEOSORVEGLIANZA
1,IMPIANTI
3002,SOFTWARE MICROSOFT
2014,CONTROLLO ACCESSI
2006,APPARATI VARI
4003,TELEFONIA SERVER
1016,CONTROLLI ACCESSI
3035,STORAGE HITACHI
99001,MERCI C/ACQUISTI
3005,CLOUD VARIE SW
4008,CISCO VIDEOCONFERENZA/BOARD
1006,ARMADI
17005,ALTRO DATA CENTER
4007,INSTALLAZIONE COLLABORATION
3032,RINNOVO SOLUZIONE BACKUP ALTRO
1008,CABLAGGIO PANDUIT
6004,ALTRO SECURITY
4001,TELEFONIA IP
4,COLLABORATION
2002,APPARATI CISCO LAN
24003,INSTALLAZIONE DIGITAL BUILDING
3010,SERVER HP
17,DATACENTER INFRASTRUCTURE
6027,RADWARE SECURITY
99003,TERZISTI DELIVERY CANONI
17009,SISTEMI ANTINCENDIO
3039,RUBRIK
3015,RINNOVO SOFTWARE MICROSOFT
6002,CHECKPOINT SECURITY
24002,ALTRI IMPIANTI TECNOLOGICI
2003,APPARATI CISCO WAN
3003,SOFTWARE CITRIX
3016,RINNOVO SOFTWARE CITRIX
4005,ROUTER TELEFONIA
4004,TELEFONIA SOFTWARE
2001,APPARATI CISCO WIRELESS
6001,CISCO SECURITY
2016,CISCO MERAKI
2005,APPARATI HP
1011,BUILDING AUTOMATION
99008,MANUTENZIONI INTERNE
6016,RINNOVO FORCEPOINT SECURITY
6009,FORCEPOINT SECURITY
17008,SERVIZI SISTEMI SCHNEIDER
6028,RINNOVO RADWARE SECURITY
3009,SERVER CISCO
17007,INSTALLAZIONE DATA CENTER
3031,SOLUZIONE BACKUP ALTRO
99,VARIE
2012,APPARATI ALLOT
4016,RINNOVO CISCO COLLABORATION A CANONE
2015,APPARATI CISCO IOT
6003,TREND MICRO PRIMA VENDITA
6012,RINNOVO SOFTWARE TREND MICRO
3041,COHESITY
99004,TERZISTI DELIVERY INSTALLAZIONI
4015,CISCO COLLABORATION A CANONE
3014,SOLUZIONE NETAPP
6018,RINNOVO MACAFEE SECURITY
19001,SERVIZI OUTSOURCING
99002,COSTI INSTALLAZIONE E CONSULENZA
99012,SERVIZI CLOUD UP
12,ALTRI RICAVI E PROVENTI
2,APPARATI
99006,SMARTNET CISCO
20009,CERTEGO ATTIVITÀ VARIA
20001,CERTEGO SERVIZI CONTINUATIVI
20007,CERTEGO SERVIZI CUSTOM
20006,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI
20011,CERTEGO STARTUP SERVIZI
15007,CYBERGURU - PRIMA VENDITA
15008,CYBERGURU - RINNOVO
3030,STORAGE IPERCONVERGENZA CISCO
3022,RINNOVO SOLUZIONE NETAPP
3046,NUTANIX
99011,CONSULENZA TECNICA PER LA PRODUZIONE
99009,CONSULENZA TECNICA
6013,RINNOVO FORTINET SECURITY
6011,RINNOVO CHECKPOINT SECURITY
3042,RINNOVO COHESITY
20008,NUOVO CERTEGO SERVIZI CUSTOM
6017,MCAFEE SECURITY
5001,CONNETTIVITA'
3,CLOUD TECHNOLOGIES
2017,RINNOVO CISCO MERAKI
26001,NEEN OPEX NUOVO CLIENTE
6007,FORTINET SECURITY
99010,SPESE TRASPORTO FORNITORI
21010,SW USO INTERNO VEM
3011,SOFTWARE VMWARE
3019,RINNOVO SOFTWARE VMWARE
6025,SECURITY CISCO IOT
25002,SW INTEGRATION
99007,NOLEGGIO BENI DI TERZI
16,CORSI IN AULA
3037,RED HAT
3036,RINNOVO STORAGE HITACHI
25001,SVILUPPO APPLICATIVO CUSTOM
26002,NEEN OPEX RINNOVO
26003,NEEN SERVIZI PROFESSIONALI UNA TANTUM
99005,PSS CISCO
99013,PREMI/SCONTI
3038,RINNOVO RED HAT
3040,RINNOVO RUBRIK
3007,INSTALLAZIONE CLOUD TECHNOLOGIES
24,DIGITAL BUILDING
6032,TREND MICRO TRAMITE AWS PRIMA VENDITA
6033,RINNOVO TREND MICRO TRAMITE AWS
