Lob Associata,nome_per_lob
1,1
2,1
3,1
4,1
12,1
16,1
17,1
24,1
99,1
1001,1
1002,1
1003,1
1006,1
1008,1
1011,1
1015,1
1016,1
2001,1
2002,1
2003,1
2005,1
2006,1
2012,1
2013,1
2014,1
2015,1
2016,1
2017,1
3002,1
3003,1
3004,1
3005,1
3007,1
3009,1
3010,1
3011,1
3014,1
3015,1
3016,1
3019,1
3022,1
3030,1
3031,1
3032,1
3035,1
3036,1
3037,1
3038,1
3039,1
3040,1
3041,1
3042,1
3046,1
4001,1
4002,1
4003,1
4004,1
4005,1
4007,1
4008,1
4009,1
4015,1
4016,1
5001,1
6001,1
6002,1
6003,1
6004,1
6007,1
6009,1
6011,1
6012,1
6013,1
6016,1
6017,1
6018,1
6025,1
6027,1
6028,1
6032,1
6033,1
15007,1
15008,1
17001,1
17005,1
17007,1
17008,1
17009,1
19001,1
20001,1
20006,1
20007,1
20008,1
20009,1
20011,1
21010,1
24001,1
24002,1
24003,1
25001,1
25002,1
26001,1
26002,1
26003,1
99001,1
99002,1
99003,1
99004,1
99005,1
99006,1
99007,1
99008,1
99009,1
99010,1
99011,1
99012,1
99013,1
