LOB Code,Name
01001,CABLAGGI COMMSCOPE
01002,CABLAGGIO ALTERNATIVO
01004,MANODOPERA CABLAGGIO
01006,ARMADI
01008,CABLAGGIO PANDUIT
01010,PREVENDITA CABLAGGIO
01011,BUILDING AUTOMATION
01012,INSTALLAZIONE DIGITAL BUILDING E SICUREZZA FISICA
01013,ALTRI IMPIANTI TECNOLOGICI
01014,PREVENDITA DIGITAL BUILDING E SICUREZZA FISICA
01015,VIDEOSORVEGLIANZA
01016,CONTROLLI ACCESSI
01999,CABLAGGI
02001,APPARATI CISCO WIRELESS
02002,APPARATI CISCO LAN
02003,APPARATI CISCO WAN
02005,APPARATI HP
02006,APPARATI VARI
02008,INSTALLAZIONE APPARATI
02012,APPARATI ALLOT
02013,VIDEOSORVEGLIANZA
02014,CONTROLLO ACCESSI
02015,APPARATI CISCO IOT
02016,CISCO MERAKI
02017,RINNOVO CISCO MERAKI
02018,CISCO SMARTNET NETWORKING
02019,RINNOVO CISCO SMARTNET NETWORKING
02020,PREVENDITA APPARATI
02999,APPARATI
03002,SOFTWARE MICROSOFT
03003,SOFTWARE CITRIX
03004,CLOUD VARIE HW
03005,CLOUD VARIE SW
03007,INSTALLAZIONE CLOUD TECHNOLOGIES
03009,SERVER CISCO
03010,SERVER HP
03011,SOFTWARE VMWARE
03014,SOLUZIONE NETAPP
03015,RINNOVO SOFTWARE MICROSOFT
03016,RINNOVO SOFTWARE CITRIX
03019,RINNOVO SOFTWARE VMWARE
03022,RINNOVO SOLUZIONE NETAPP
03030,STORAGE IPERCONVERGENZA CISCO
03031,SOLUZIONE BACKUP ALTRO
03032,RINNOVO SOLUZIONE BACKUP ALTRO
03035,STORAGE HITACHI
03036,RINNOVO STORAGE HITACHI
03037,RED HAT
03038,RINNOVO RED HAT
03039,RUBRIK
03040,RINNOVO RUBRIK
03041,COHESITY
03042,RINNOVO COHESITY
03043,CISCO SMARTNET CLOUD
03044,RINNOVO CISCO SMARTNET CLOUD
03045,PREVENDITA CLOUD TECHNOLOGIES
03046,NUTANIX
03047,RINNOVO NUTANIX
03999,CLOUD TECHNOLOGIES
04001,TELEFONIA IP
04002,ALTRO MATERIALE
04003,TELEFONIA SERVER
04004,TELEFONIA SOFTWARE
04005,ROUTER TELEFONIA
04007,INSTALLAZIONE COLLABORATION
04008,CISCO VIDEOCONFERENZA/BOARD
04009,AUDIO VIDEO - TELEPRESENCE ROOM
04014,TELEFONIA HCS/TTS TIM
04015,CISCO COLLABORATION A CANONE
04016,RINNOVO CISCO COLLABORATION A CANONE
04017,CISCO SMARTNET COLLABORATION
04018,RINNOVO CISCO SMARTNET COLLABORATION
04019,PREVENDITA COLLABORATION
04999,COLLABORATION
05001,CONNETTIVITA'
05002,REG./MANT. DOMINIO
05003,ALTRI SERVIZI INTERNET
05999,SERVIZI INTERNET
06001,CISCO SECURITY
06002,CHECKPOINT SECURITY
06003,TREND MICRO PRIMA VENDITA
06004,ALTRO SECURITY
06006,INSTALLAZIONE SECURITY
06007,FORTINET SECURITY
06009,FORCEPOINT SECURITY
06011,RINNOVO CHECKPOINT SECURITY
06012,RINNOVO SOFTWARE TREND MICRO
06013,RINNOVO FORTINET SECURITY
06016,RINNOVO FORCEPOINT SECURITY
06017,MCAFEE SECURITY
06018,RINNOVO MACAFEE SECURITY
06025,SECURITY CISCO IOT
06026,TREND MICRO ADVANCED SECURITY SUITE
06027,RADWARE SECURITY
06028,RINNOVO RADWARE SECURITY
06029,CISCO SMARTNET SECURITY
06030,RINNOVO CISCO SMARTNET SECURITY
06031,PREVENDITA SECURITY
06032,TREND MICRO TRAMITE AWS PRIMA VENDITA
06033,RINNOVO TREND MICRO TRAMITE AWS
06034,PALO ALTO
06035,RINNOVO PALO ALTO
06998,CISCO SECURITY - CISCO ISE
06999,SECURITY
12003,RIMBORSO SPESE DI TRASPORTO
12005,RICAVI DA RIPARAZIONE
12023,RIVALSA ONERI DI SICUREZZA
12028,SERVIZIO DI COLOCATION
12999,ALTRI RICAVI E PROVENTI
15003,CONSULENZA TECHNOLOGY ADVISORY
15004,CONSULENZE CLOUD
15005,CONSULENZA DIGITAL INDUSTRY
15006,DELIVERY TCM
15007,CYBERGURU - PRIMA VENDITA
15008,CYBERGURU - RINNOVO
15009,PREVENDITA TA
15010,DELIVERY BUNDLE
15011,DELIVERY CONSUNTIVO
15999,CONSULENZE
16001,VEM.SCHOOL
16999,CORSI IN AULA
17001,SISTEMI SCHNEIDER
17005,ALTRO DATA CENTER
17007,INSTALLAZIONE DATA CENTER
17008,SERVIZI SISTEMI SCHNEIDER
17009,SISTEMI ANTINCENDIO
17010,PREVENDITA DATACENTER
17999,DATACENTER INFRASTRUCTURE
19001,SERVIZI OUTSOURCING
19007,NOLEGGI
19008,PERSONE DEDICATE INTERNE
19009,PERSONE DEDICATE ESTERNE
19999,SERVIZI OUTSOURCING
20001,CERTEGO SERVIZI CONTINUATIVI
20006,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI
20007,CERTEGO SERVIZI CUSTOM
20008,NUOVO CERTEGO SERVIZI CUSTOM
20009,CERTEGO ATTIVITÀ VARIA
20011,CERTEGO STARTUP SERVIZI
20012,CERTEGO SOFTWARE
20999,CERTEGO
21009,PIATTAFORMA MYVEM
